Alter,Geschlecht,Fach,Fachrichtung,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Competence,Sensory and Imaginative Immersion,Flow,Tension,Challenge,Negative Effect,Positiv Effect,new Competence,new Sensory and Imaginative Immersion,new Flow,new Tension,new Challenge,new Negative Effect,new Positiv Effect
21,m,BWL,NT,5,5,2,5,5,2,4,5,4,5,4,5,5,4,5,4,2,4,4,3,4,5,4,3,4,4,3,5,4.5,5,5,3.5,5,3,4,4,4.5,3.5,4,3.5,3,4.5
26,m,Jura,NT,3,5,1,2,4,1,1,1,4,3,4,1,1,4,3,3,1,3,4,2,1,2,3,4,4,4,2,4,4.5,2.5,3.5,1,1,1,4,3,3,4,2,3,1,4
23,m,Wirtschaftsingenieur,NT,2,4,1,2,5,1,2,1,4,4,4,4,3,4,2,1,3,2,3,5,5,1,1,4,1,4,5,2,4,2,4.5,1,3.5,1.5,4,1,2,3.5,3,4.5,4,1.5
22,m,Informatik,T,1,4,2,2,2,2,2,1,3,2,3,3,1,3,1,3,2,4,4,4,4,1,1,4,4,4,4,5,3.5,1.5,2,1.5,2,2,3,2,2.5,4,2.5,4,3,4.5
23,m,BWL,NT,2,3,3,2,2,1,2,1,2,2,3,2,2,3,4,2,1,4,4,3,4,2,2,3,2,4,4,2,2.5,2,2,1,2,2.5,3,2,4,3.5,2.5,4,2.5,2
25,m,BWL,NT,2,1,2,4,3,2,2,2,3,2,3,2,3,3,2,3,2,3,3,1,2,2,5,5,3,3,2,1,2,3,2.5,2,2.5,2,3,4,2.5,4,1.5,2.5,2,2
21,m,Chemie,T,2,4,1,2,5,1,1,1,3,2,4,3,3,5,1,2,1,4,5,2,4,1,2,4,3,5,4,3,3.5,2,3.5,1,3,1,4.5,2,2.5,4.5,1.5,4.5,2.5,3
20,m,Informatik,T,3,5,2,4,4,1,3,3,4,4,3,3,3,4,3,2,1,4,4,2,3,2,3,4,3,4,3,3,4.5,3.5,4,2,3,2.5,3.5,2.5,3.5,4,2,3.5,2,3
23,m,Pädagogik,NT,3,4,3,2,2,1,1,2,4,2,4,2,1,4,4,3,2,4,4,3,4,3,2,4,4,4,4,4,4,2.5,2,1.5,1.5,2,4,2.5,4,4,3,4,3,4
18,m,Maschinenbau,T,5,5,1,2,4,1,2,1,3,2,5,3,2,4,5,4,1,4,5,1,4,2,4,4,3,5,3,5,4,3.5,3,1,2.5,1.5,4.5,4,4.5,4.5,1.5,4,2.5,4
19,m,Maschinenbau,T,2,5,1,3,5,1,4,2,3,3,5,4,2,5,2,3,1,4,5,3,5,3,2,5,4,5,5,4,4,2.5,4,1.5,3,2.5,5,2.5,3,5,3,5,3,4
21,m,Bauingenieur,T,4,3,2,4,2,1,2,2,3,2,3,3,2,4,4,2,2,3,4,3,4,1,2,4,2,5,3,2,3,4,2,1.5,2.5,2,3.5,2,3.5,4,2,4,3,2
