Version,Alter,Geschlecht,Fach,Fachrichtung,1,2,3,4,5,6,7,8,9,10,11,12,13,14,Competence,Sensory and Imaginative Immersion,Flow,Tension,Challenge,Negative Effect,Positiv Effect,Score
old,21,m,BWL,NT,5,5,2,5,5,2,4,5,4,5,4,5,5,4,4.5,5,5,3.5,5,3,4,4.285714286
old,26,m,Jura,NT,3,5,1,2,4,1,1,1,4,3,4,1,1,4,4.5,2.5,3.5,1,1,1,4,2.5
old,23,m,Wirtschaftsingenieur,NT,2,4,1,2,5,1,2,1,4,4,4,4,3,4,4,2,4.5,1,3.5,1.5,4,2.928571429
old,22,m,Informatik,T,1,4,2,2,2,2,2,1,3,2,3,3,1,3,3.5,1.5,2,1.5,2,2,3,2.214285714
old,23,m,BWL,NT,2,3,3,2,2,1,2,1,2,2,3,2,2,3,2.5,2,2,1,2,2.5,3,2.142857143
old,25,m,BWL,NT,2,1,2,4,3,2,2,2,3,2,3,2,3,3,2,3,2.5,2,2.5,2,3,2.428571429
old,21,m,Chemie,T,2,4,1,2,5,1,1,1,3,2,4,3,3,5,3.5,2,3.5,1,3,1,4.5,2.642857143
old,20,m,Informatik,T,3,5,2,4,4,1,3,3,4,4,3,3,3,4,4.5,3.5,4,2,3,2.5,3.5,3.285714286
old,23,m,Pädagogik,NT,3,4,3,2,2,1,1,2,4,2,4,2,1,4,4,2.5,2,1.5,1.5,2,4,2.5
old,18,m,Maschinenbau,T,5,5,1,2,4,1,2,1,3,2,5,3,2,4,4,3.5,3,1,2.5,1.5,4.5,2.857142857
old,19,m,Maschinenbau,T,2,5,1,3,5,1,4,2,3,3,5,4,2,5,4,2.5,4,1.5,3,2.5,5,3.214285714
old,21,m,Bauingenieur,T,4,3,2,4,2,1,2,2,3,2,3,3,2,4,3,4,2,1.5,2.5,2,3.5,2.642857143
new,21,m,BWL,NT,5,4,2,4,4,3,4,5,4,3,4,4,3,5,4,4.5,3.5,4,3.5,3,4.5,3.857142857
new,26,m,Jura,NT,3,3,1,3,4,2,1,2,3,4,4,4,2,4,3,3,4,2,3,1,4,2.857142857
new,23,m,Wirtschaftsingenieur,NT,2,1,3,2,3,5,5,1,1,4,1,4,5,2,1,2,3.5,3,4.5,4,1.5,2.785714286
new,22,m,Informatik,T,1,3,2,4,4,4,4,1,1,4,4,4,4,5,2,2.5,4,2.5,4,3,4.5,3.214285714
new,23,m,BWL,NT,4,2,1,4,4,3,4,2,2,3,2,4,4,2,2,4,3.5,2.5,4,2.5,2,2.928571429
new,25,m,BWL,NT,2,3,2,3,3,1,2,2,5,5,3,3,2,1,4,2.5,4,1.5,2.5,2,2,2.642857143
new,21,m,Chemie,T,1,2,1,4,5,2,4,1,2,4,3,5,4,3,2,2.5,4.5,1.5,4.5,2.5,3,2.928571429
new,20,m,Informatik,T,3,2,1,4,4,2,3,2,3,4,3,4,3,3,2.5,3.5,4,2,3.5,2,3,2.928571429
new,23,m,Pädagogik,NT,4,3,2,4,4,3,4,3,2,4,4,4,4,4,2.5,4,4,3,4,3,4,3.5
new,18,m,Maschinenbau,T,5,4,1,4,5,1,4,2,4,4,3,5,3,5,4,4.5,4.5,1.5,4,2.5,4,3.571428571
new,19,m,Maschinenbau,T,2,3,1,4,5,3,5,3,2,5,4,5,5,4,2.5,3,5,3,5,3,4,3.642857143
new,21,m,Bauingenieur,T,4,2,2,3,4,3,4,1,2,4,2,5,3,2,2,3.5,4,2,4,3,2,2.928571429
